App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Dodge The Cars!,com.MrScratchEnterprises.CarDogeGame,Racing,4.9,55,100+,100,329,True,0,USD,51M,4.4 and up,MrScratch,,mithalaarush@gmail.com,"Jul 30, 2020","Jul 30, 2020",Everyone,https://docs.google.com/document/d/1HTtvenbfLk62rIRKzmE0pYD1tFQBhZwWfXrhRBQb_Xw/edit?usp=sharing,False,False,False,2021-06-15 20:19:35
Parents,com.eqra.android.BSTS.parent,Maps & Navigation,0.0,0,100+,100,330,True,0,USD,2.7M,4.0 and up,Eqra Tech,http://www.hafizquran.com,hhiyassat@eqratech.com,"Jan 10, 2018","Jun 27, 2018",Everyone,https://docs.google.com/document/d/1fpoF-YmfcVQsZUQhhDjZEj09B3tCvc972aDukdFYmjY/edit?usp=sharing,False,False,False,2021-06-15 20:19:36
桃園機場捷運時刻表 - 捷運轉乘路線快速查詢(支援台北捷運),com.jieapp.taoyuanmetro,Travel & Local,3.9,118,"10,000+",10000,37763,True,0,USD,7.6M,4.2 and up,Jie App,https://jie-app.herokuapp.com/,jie.myapp@gmail.com,"Apr 3, 2018","Jun 11, 2021",Everyone,http://appsetting.blogspot.tw/2017/02/jie-app.html,True,False,False,2021-06-15 20:19:36
be.MOBILISED,com.hastobe.bemobilised,Maps & Navigation,0.0,0,100+,100,274,True,0,USD,15M,6.0 and up,has.to.be gmbh,http://www.has-to-be.com,support@has-to-be.com,"Feb 9, 2020","May 14, 2021",Everyone,https://has-to-be.com/de/ueber-uns/datenschutzrichtlinien/,False,False,False,2021-06-15 20:19:36
Caliway Conductor,com.caliwayconductor.driver,Travel & Local,3.7,1572,"10,000+",10000,42856,True,0,USD,29M,4.2 and up,WayCali,https://www.facebook.com/waycali,waycalicol@gmail.com,"Sep 5, 2018","May 30, 2020",Everyone,https://www.facebook.com/waycali,False,False,False,2021-06-15 20:19:36
Readymade Grocery App,com.ionicfirebaseapp.readymadegroceryuserapp,Food & Drink,4.2,16,"1,000+",1000,4313,True,0,USD,12M,4.4 and up,pietechsolution,https://www.ionicfirebaseapp.com/products/readymade-grocery-online-store,info@ionicfirebaseapp.com,"Apr 5, 2020","Mar 23, 2021",Everyone,https://www.ionicfirebaseapp.com/contact,False,False,False,2021-06-15 20:19:36
OTENTIK Discovery FR,com.camineo.otentikdiscoveryDLFR,Travel & Local,3.4,5,500+,500,949,True,0,USD,2.9M,4.4 and up,Hotels Attitude,http://www.hotels-attitude.com,info@hotels-attitude.com,"Nov 28, 2016","Oct 30, 2019",Everyone,http://camineo.com/w7WEW99wBsdTH2FuyOeTQACM6mcmH9Kf/CamineoPrivacy-v1.0.pdf,False,False,False,2021-06-15 20:19:36
All in one shopping app,com.tkapplications.allinoneshoppingapp,Tools,5.0,6,50+,50,62,True,0,USD,2.0M,4.1 and up,TK Applications,,tkapplications001@gmail.com,"Apr 24, 2019","May 05, 2019",Everyone,,False,False,False,2021-06-15 20:19:36
REDMOND  Robot,com.grit.redmond,Lifestyle,3.7,328,"10,000+",10000,31235,True,0,USD,70M,4.1 and up,Grit Technology,,info@redmond.company,"Jul 1, 2020","May 26, 2021",Everyone,https://redmond.company/upload/policy_redmond_robot_cleaner.pdf,False,False,False,2021-06-15 20:19:36
Contemporary Love Wallpaper HD,com.felingdev.lowalpaper,Books & Reference,0.0,0,1+,1,2,True,0,XXX,11M,4.2 and up,Human Droid Apps,,farukabdillah4@gmail.com,"Dec 26, 2020","Mar 23, 2021",Mature 17+,https://docs.google.com/document/d/1oK4CCJ6gbqyFI1eHtV78HzIpD9kkqW0nphZlkwBuGNc/edit?usp=sharing,True,False,False,2021-06-15 20:19:36
Nepali Congress,np.com.NepaliCongress,Social,0.0,0,100+,100,336,True,0,USD,24M,5.0 and up,Nitya Shree Developers,https://nepalicongress.org,info@nepalicongress.org,"May 31, 2021","May 31, 2021",Everyone,https://nepalicongress.org/page/privacy-policy,False,False,False,2021-06-15 20:19:36
Bhavan's BHEL VIM,com.bhavans.vim,Medical,0.0,0,10+,10,31,True,0,USD,1.4M,4.0.3 and up,"Bhavans, BHEL, Hyderabad",http://www.bhavansbhelhyd.com/,cheboulu.uma@gmail.com,"Dec 25, 2017","Dec 26, 2017",Everyone,,False,False,False,2021-06-15 20:19:36
Block Fill: Puzzle Game,com.mailbeegames.casual.brain.line.block.puzzlegame,Puzzle,4.4,211,"10,000+",10000,15471,True,0,USD,16M,5.0 and up,MailBee Games,http://mailbeegames.net,mailbeegames@gmail.com,"Mar 13, 2020","May 11, 2020",Everyone,http://www.addictinggames.com/legal/privacy-policy.jsp,True,True,False,2021-06-15 20:19:36
Coloring Book Barbaie,com.bisgumah.barbie,Entertainment,3.8,736,"500,000+",500000,646456,True,0,USD,20M,5.0 and up,bisgumah,https://appsabsadstxt.blogspot.com/,bisgumah418@gmail.com,"Apr 21, 2019","Nov 13, 2020",Everyone,https://docs.google.com/document/d/1kUDGpRA8fFBpy6x_L3tuC-C0po_ONPcSu1qRKVv3gNg/edit?usp=sharing,True,False,False,2021-06-15 20:19:36
Random Number Generator,com.gary.randomnumber,Tools,4.2,35,"10,000+",10000,21124,True,0,USD,2.4M,5.0 and up,GaryG Apps,,garygapps@gmail.com,"May 28, 2017","May 30, 2020",Everyone,,True,False,False,2021-06-15 20:19:37
Sticky Ball,com.mitochondriastudios.stickyball,Arcade,4.6,11,100+,100,152,True,0,USD,25M,4.1 and up,Mitochondria Studios,,family@mitochondriastudios.com,"Mar 5, 2018","Mar 26, 2018",Everyone,https://mitochondriastudios.com/privacypolicy/,True,True,False,2021-06-15 20:19:37
CUBIC RUNNER,jp.ga_software.cubicrunner,Arcade,0.0,0,"1,000+",1000,1068,True,0,USD,16M,4.0 and up,GA software,http://ga-software.blogspot.jp/,gasoftwarejp@gmail.com,"Apr 1, 2015","Apr 16, 2015",Everyone,,True,True,False,2021-06-15 20:19:37
Dj Car Sound And Sound Effects 2019,com.melonappsvpn.dj_carsounds,Entertainment,0.0,0,100+,100,396,True,0,USD,21M,4.0.3 and up,TenSept Tools,,naveedgul802@gmail.com,"May 17, 2019","May 17, 2019",Everyone,https://www.hamootech.com/privacy_policy.php,True,False,False,2021-06-15 20:19:37
Schoolbus*,com.forumloft.schoolbus,Maps & Navigation,4.1,27,"1,000+",1000,2414,True,0,USD,11M,2.1 and up,Forumloft,http://forumloft.com,mail@forumloft.com,"Dec 15, 2013","Dec 15, 2013",Everyone,http://forumloft.com/privacy_policy.html,False,False,False,2021-06-15 20:19:37
Cambodian.Express,com.cambodia.ceapp,Auto & Vehicles,3.4,16,"1,000+",1000,3784,True,0,USD,6.2M,4.1 and up,CCIT.TMS,,heidi.lei@cambodianexpress.com,"Dec 4, 2019","May 11, 2020",Everyone,https://www.cambodianexpress.com,False,False,False,2021-06-15 20:19:37
Barnets Hair,com.phorest.barnetshair,Lifestyle,0.0,0,100+,100,345,True,0,USD,36M,5.0 and up,Phorest,,deploy@phorest.com,"Feb 8, 2018","Oct 23, 2020",Everyone,https://zanadoo.me/pages/privacy,False,False,False,2021-06-15 20:19:37
GaiaZOO,nl.haveaniceday.gaiazoo,Travel & Local,3.4,67,"10,000+",10000,30921,True,0,USD,7.6M,4.4 and up,Myler Media,http://www.gaiazoo.nl,info@GaiaZOO.nl,"Oct 13, 2016","Jun 29, 2020",Everyone,https://www.gaiazoo.nl/privacy-verklaring/,False,False,False,2021-06-15 20:19:37
Photo Brightness Editor - Image Brighten App,image.photo.brightness.editor,Photography,2.5,21,"5,000+",5000,8984,True,0,XXX,6.2M,4.4 and up,Anuoluwapo,https://spobam.com,bajiodunamis@gmail.com,"Nov 13, 2020","Nov 14, 2020",Everyone,https://spobam.com/image-brightness-privacy-policy/,True,False,False,2021-06-15 20:19:37
Creepy Story,com.creepypasta.club,Entertainment,0.0,0,10+,10,22,True,0,USD,6.1M,4.1 and up,AL Hidayah Corporation,,andizulmai@gmail.com,"May 28, 2019","May 30, 2019",Teen,http://hidayah.club/creepystory_privacy_policy.html,True,False,False,2021-06-15 20:19:37
Vancouver Bus Tracker,beyond.translinkbustracker,Maps & Navigation,2.3,420,"50,000+",50000,74510,True,0,USD,2.6M,4.0 and up,Beyond 2.0,http://www.Beyond20.ca,contact@bustracker.ca,"Nov 6, 2013","Jun 06, 2017",Everyone,https://www.VancouverBusTracker.com/privacy.aspx,True,False,False,2021-06-15 20:19:37
Serbia Audio Guide,apetra.tourguide,Travel & Local,3.7,143,"10,000+",10000,43422,True,0,USD,11M,4.1 and up,NTO Serbia,http://www.tos.org.rs,admin@serbia.travel,"Feb 14, 2017","Dec 28, 2020",Everyone,http://www.tos.org.rs/tos.html,False,False,False,2021-06-15 20:19:37
Head Lice guide,com.andromo.dev667101.app672597,Health & Fitness,2.1,33,"10,000+",10000,19889,True,0,USD,3.7M,4.1 and up,Free Apps For Everyone,https://w17cdeb7b.app-ads-txt.com/app-ads.txt,free.apps.for.everyone80@gmail.com,"Sep 27, 2017","May 29, 2020",Everyone,https://sites.google.com/view/anna-lauret-privacy-policy/accueil,True,False,False,2021-06-15 20:19:37
Calculus Tutorial 1: Introduction,com.RaySemiSoft.CalculusT1,Education,0.0,0,100+,100,277,True,0,USD,15M,4.1 and up,RaySemiSoft,,raysemisoft@gmail.com,"Jun 18, 2020","Jun 01, 2021",Everyone,,False,False,False,2021-06-15 20:19:37
Business Class Fitness,com.bhappdevelopment.samuelvankuren,Health & Fitness,0.0,0,1+,1,2,True,0,USD,10M,7.0 and up,BH App Development Ltd,,svankuren@businessclass.fitness,"Apr 5, 2020","Nov 29, 2020",Everyone,https://www.ptdistinction.com/app_privacy_policy.php?uid=344789,False,False,False,2021-06-15 20:19:37
"Sudan Flag Wallpaper: Flags, Country HD Images",com.techzit.sudanflagwallpaper,Personalization,0.0,0,100+,100,468,True,0,USD,8.9M,5.0 and up,TZLabs,https://toolsfairy.com,tzlabs4u@gmail.com,"Jan 10, 2021","Jan 10, 2021",Teen,https://toolsfairy.com/privacy-policy.html,True,False,False,2021-06-15 20:19:37
BuradaOto,com.rzmobile.buradaoto,Shopping,4.9,102,"1,000+",1000,4103,True,0,USD,3.9M,4.0.3 and up,Buradaoto,https://www.buradaoto.com/,Buradaoto@gmail.com,"Aug 29, 2019","Sep 01, 2019",Everyone,https://www.buradaoto.com/gizlilik-politikasi-15,False,False,False,2021-06-15 20:19:37
MoveNow User,com.movenowcustomer,Travel & Local,0.0,0,1+,1,2,True,0,USD,30M,4.1 and up,MoveNowApp,,MoveNowApp2020@gmail.com,"Feb 21, 2021","Mar 04, 2021",Everyone,https://movenow-api.ondemandcreations.com/api/v1/admin/termsandconditions,False,False,False,2021-06-15 20:19:37
Niagara Falls Wallpapers,com.niagara.wallpapers.backgrounds_0001,Personalization,5.0,11,500+,500,825,True,0,USD,21M,4.1 and up,Legend APPS,,legendapplication@gmail.com,"May 30, 2020","May 30, 2020",Teen,,True,False,False,2021-06-15 20:19:37
Extrude Balance,com.creatorsbureau.extrudebalance,Arcade,5.0,8,"1,000+",1000,3427,True,0,USD,26M,5.0 and up,Creators Bureau,,creatorsbureau@gmail.com,"Jul 8, 2019","May 01, 2021",Everyone,https://unity3d.com/legal/privacy-policy,True,True,False,2021-06-15 20:19:37
1-Click Hotspot,com.one.click.wifi.tethering.free,Tools,2.7,420,"50,000+",50000,59427,True,0,USD,4.9M,4.1 and up,Limonland Apps,https://uc294d7b9.app-ads-txt.com,enrasoftapps@gmail.com,"Jun 28, 2013","Jan 14, 2020",Everyone,http://enrasoftapps.blogspot.com.es/2013/09/terms-and-conditions-of-use.html,True,False,False,2021-06-15 20:19:37
Psychrometry Calculator,com.s3software.psychrometry,Tools,4.3,20,"1,000+",1000,1396,True,0,USD,4.3M,4.0.3 and up,MEPPEDIA,http://Meppedia.com,info@mepa2z.com,"Sep 2, 2019","Aug 16, 2020",Everyone,,True,False,False,2021-06-15 20:19:38
Bounce & Bubble,com.game.bouncebubble,Board,0.0,0,10+,10,37,True,0,USD,4.8M,2.2 and up,Kossta Tech Systems,http://www.kosstatech.com,ajishnair@kosstatech.com,"Jul 15, 2016","Jul 18, 2016",Everyone,,True,False,False,2021-06-15 20:19:38
Radio Louvor,hoostcomv2.francisco,Music & Audio,0.0,0,100+,100,229,True,0,USD,4.6M,5.0 and up,Hoost,,apps@hoost.com.br,"Feb 12, 2020","Feb 11, 2021",Everyone,https://www.hoost.com.br/politica-de-privacidade-para-os-aplicativos-android-e-ios/,False,False,False,2021-06-15 20:19:38
Peribahasa Bahasa Indonesia,com.andromo.dev298605.app412818,Books & Reference,3.8,13,"1,000+",1000,1079,True,0,USD,2.8M,4.1 and up,Irwana Studio,https://irwanastudio.com,irwankayen@gmail.com,"Jun 19, 2015","Apr 22, 2020",Everyone,https://irwanastudio.blogspot.com/p/1.html,True,False,False,2021-06-15 20:19:38
Bowling Paradise Pro FREE,com.innolab.BowlingParadiseProFREE,Sports,4.4,2781,"100,000+",100000,340980,True,0,USD,38M,2.1 and up,InnoLab,http://www.innolab-au.com,support@innolab-au.com,"Apr 27, 2013","Mar 21, 2015",Everyone,,True,True,False,2021-06-15 20:19:38
ACtrainingLanzarote,com.idnapps.actlanzarote,Sports,0.0,0,5+,5,8,True,0,USD,7.6M,4.4 and up,MaiTai Group,,info@actlanzarote.com,"Mar 7, 2019","Mar 07, 2019",Everyone,http://panel.idnapps.com/application/privacypolicy?id=actlanzarote,False,False,False,2021-06-15 20:19:38
Camelia Estetica & Solarium,com.igs.camelia,Beauty,0.0,0,500+,500,647,True,0,USD,5.1M,5.0 and up,I Grandi Soft,https://www.igrandisoft.it,info@igrandisoft.it,"Aug 26, 2020","Dec 01, 2020",Everyone,https://sites.google.com/view/camelia-privacy-policy/,False,False,False,2021-06-15 20:19:38
Kamesh Welding,com.vizyoner.kamesh,Business,0.0,0,10+,10,17,True,0,USD,8.9M,4.1 and up,Vizyoner Danışmanlık ve Ajans,https://www.kameshwelding.com,info@kameshwelding.com,"Jun 21, 2018","Jul 02, 2018",Everyone,https://www.kameshwelding.com/gizlilikpolitikasi_tr.html,False,False,False,2021-06-15 20:19:38
Coachman Training Systems,com.trainerize.coachmantrainingsystems,Health & Fitness,0.0,0,10+,10,25,True,0,USD,147M,6.0 and up,TRAINERIZE,https://coachmantrainingsystems.trainerize.com,help@trainerize.com,"Jan 28, 2018","May 30, 2021",Everyone,http://www.trainerize.com/privacy.aspx,False,False,False,2021-06-15 20:19:38
Chemistry Mission,academy.crow.chemistrymission,Educational,0.0,0,50+,50,76,True,0,USD,33M,4.4 and up,Crow Academy,https://crow.academy,pablo.triangle@gmail.com,"Jun 26, 2020","Jun 26, 2020",Everyone,https://crow.academy/privacy-policy.html,True,False,False,2021-06-15 20:19:38
VİOP,appinventor.ai_burcu199146.GCMVIOP,Finance,3.1,17,"5,000+",5000,7119,True,0,USD,3.7M,2.1 and up,Financial Developer,,synahmet10@gmail.com,"Jul 5, 2017","Apr 11, 2020",Teen,,False,False,False,2021-06-15 20:19:38
Video To Mp3 Converter & Audio-Video Cutter,com.wmp.videotomp3converter.songvideocutter.audiovideocutter,Tools,3.8,31,"10,000+",10000,13524,True,0,USD,38M,4.4 and up,Gatto Creations,https://waytomodernapps.blogspot.com/,waytomoderna000@gmail.com,"Jul 3, 2019","Sep 06, 2019",Everyone,https://waytomodernapps.blogspot.com/2019/06/way-to-modern-apps.html,True,False,False,2021-06-15 20:19:38
Dua e Nudba - Offline,com.glowingapps.husbandwiferights,Books & Reference,4.7,30,"10,000+",10000,10958,True,0,USD,16M,4.1 and up,5tan Library,,glowingappss@gmail.com,"Jun 15, 2017","Jul 24, 2020",Everyone,https://5tan-library.flycricket.io/privacy.html,True,False,False,2021-06-15 20:19:38
shyftfly,shyftfly.com.shyftfly,Business,0.0,0,100+,100,182,True,0,USD,12M,4.4 and up,Symphony Software,http://www.symphony-software.com,rohit@symphony-software.com,"Feb 15, 2018","Oct 22, 2020",Everyone,https://shyftfly.com/,False,False,False,2021-06-15 20:19:38
physical fitness exercise,com.IkhfaStudio.latihankebugaranjasmani,Health & Fitness,0.0,0,"1,000+",1000,1026,True,0,USD,2.2M,2.3 and up,IkhfaStudio,,nemomanx@gmail.com,"Jan 27, 2018","Jan 27, 2018",Everyone,,True,False,False,2021-06-15 20:19:39
PowerSwitch,eu.power_switch,Lifestyle,4.3,266,"10,000+",10000,43836,True,0,USD,7.1M,4.0 and up,Markus Ressel,http://power-switch.eu,contact@power-switch.eu,"Oct 24, 2015","Apr 16, 2016",Everyone,https://github.com/Power-Switch/PowerSwitch_Android/blob/master/PRIVACY_POLICY.md,False,True,False,2021-06-15 20:19:39
Learn Electrical Engineering,com.quizmine.electricalengineering,Books & Reference,4.1,337,"100,000+",100000,107229,True,0,USD,24M,4.0.3 and up,SuperSimpleVideo,http://www.GoLearningBus.com,Team@simpleNeasyApp.com,"Apr 14, 2012","May 16, 2020",Everyone,http://golearningbus.com/tou.html,True,True,False,2021-06-15 20:19:39
Radio Estado de Mexico - FM Stations Free,com.radioestadodemexicoestacionesgratis.radioestadodemexico,Music & Audio,4.7,12,500+,500,682,True,0,USD,11M,4.2 and up,"Radio.app: FM AM Radio Stations, Music and News",https://radio-app-fm-stations.blogspot.com,radio.stations.new@gmail.com,"Sep 10, 2018","Mar 28, 2019",Teen,http://tappller.com/radio-station-free-new/privacy_policy.php,True,False,False,2021-06-15 20:19:39
op.se,se.mittmedia.blackcap.op,News & Magazines,3.1,84,"10,000+",10000,27270,True,0,USD,27M,4.1 and up,Bonnier News Local AB,https://www.op.se/app,digitalsupport@mittmedia.se,"Nov 23, 2015","Dec 21, 2020",Everyone,https://www.op.se/info/mittmedias-personuppgiftspolicy,True,False,False,2021-06-15 20:19:39
Racepak D3 Racing,com.racepak.vantage,Auto & Vehicles,3.7,6,500+,500,784,True,0,USD,18M,4.3 and up,Racepak,http://www.racepak.com,support@racepak.com,"Aug 16, 2017","Nov 14, 2019",Everyone,https://www.iubenda.com/privacy-policy/85879598,False,False,False,2021-06-15 20:19:39
Maulid AL BARZANJI,com.albarzanji.maulidalbarzanji,Books & Reference,0.0,0,500+,500,639,True,0,USD,10M,2.3 and up,DJANOKO STUDIO,https://djanokostudio.blogspot.com/ads.txt,qurotuluyun75@gmail.com,"Oct 6, 2019","Oct 07, 2019",Everyone,https://docs.google.com/document/d/1I2g1LT63SarTEQt0wOjlxMZIofrl-lM59ggbVHEZXXo/edit?usp=sharing,True,False,False,2021-06-15 20:19:39
ChurchManagement (PLMT),fr.ekbz.churchManager,Productivity,0.0,0,10+,10,21,True,0,USD,7.7M,5.0 and up,KBZ Production,,ekombrza@gmail.com,,"May 03, 2020",Everyone,,False,False,False,2021-06-15 20:19:39
RACE ACADEMY,co.davos.snqkw,Education,0.0,0,100+,100,186,True,0,XXX,32M,4.2 and up,Education Mine Media,,support@classplus.co,"Jan 9, 2021","May 18, 2021",Everyone,https://bit.ly/2YDTip0,False,False,False,2021-06-15 20:19:39
Pick Lock,com.BlueDrop.PickLock,Arcade,0.0,0,50+,50,79,True,0,USD,19M,4.1 and up,Blue Drop Games,,bluedropgame@gmail.com,"May 13, 2020","May 13, 2020",Everyone,,False,False,False,2021-06-15 20:19:39
Coffin Move,com.RehaStudio.CoffinMove,Casual,4.9,8,100+,100,205,True,0,USD,39M,5.0 and up,Reha Studio,,rehagamestudio@gmail.com,"May 14, 2021","May 24, 2021",Everyone,https://rehayazilim.blogspot.com/p/privacy-policy-coffin-move.html,True,False,False,2021-06-15 20:19:39
Jenifa spells 2,com.jenifaspells2.game,Puzzle,0.0,0,500+,500,654,True,0,USD,31M,4.1 and up,bellotech solutions,http://www.jenifasgames.com,bellotechsolutions@gmail.com,"Feb 13, 2020","Feb 17, 2020",Everyone,https://jenifasgames.com/privacy_policy.php,True,True,False,2021-06-15 20:19:39
Flashlight,com.ufukbagci.myflashlight,Productivity,4.3,6,100+,100,207,True,0,USD,1.2M,2.3 and up,Ufuk Mobil Uygulama Atölyesi,http://ufukbagci.com,ufkbagci@gmail.com,"Feb 7, 2017","Feb 08, 2017",Everyone,http://blog.goodbarber.com/docs/Privacypolicy/PrivacyPolicy.pdf,False,False,False,2021-06-15 20:19:39
Triple Point Academy,co.varys.sinbd,Education,5.0,5,10+,10,18,True,0,USD,38M,4.2 and up,Education Hive Media,,support@classplus.co,"Oct 15, 2020","Jun 13, 2021",Everyone,https://bit.ly/33pSGFX,False,False,False,2021-06-15 20:19:39
前橋 ハンドネイルケアエステサロン tekara 公式アプリ,net.e_motto.t9kar6q,Lifestyle,0.0,0,10+,10,36,True,0,USD,3.1M,4.0 and up,イーモット開発,http://www.e-motto.net/lp,emottodeveloper@gmail.com,"Nov 12, 2017","Sep 19, 2019",Everyone,http://apas.jp/privacy.html,False,False,False,2021-06-15 20:19:39
ApkExtractor,com.dailyapptech.apkextractor,Tools,0.0,0,"1,000+",1000,2686,True,0,USD,3.2M,4.1 and up,DailyAppTech,,dailyapptech@gmail.com,"Oct 28, 2018","Feb 22, 2020",Everyone,https://lokeshjoshiapp.blogspot.com/2018/10/privacy-policy.html,True,False,False,2021-06-15 20:19:40
The Battle at the Alamo 3D Viewer,com.HSS.TheBattleAtTheAlamo3DViewerv1,Education,0.0,0,100+,100,163,True,0,USD,42M,4.4 and up,High Score Studios,http://www.highscorestudios.com,info@highscorestudios.com,"Sep 20, 2019","Feb 29, 2020",Everyone 10+,http://www.highscorestudios.com/thebattleatthealamo3dviewer/privacypolicy.html,False,False,False,2021-06-15 20:19:40
"Flyers, Posters, Banner, Graphic Maker, Designs",postermakerart.flyerdesign.flyermaker.postermakerart,Art & Design,3.9,9,500+,500,787,True,0,USD,22M,4.1 and up,Black Art Tech Solutions,https://f60de654b.app-ads-txt.com,yaanasolutions602@gmail.com,"Nov 8, 2020","Nov 08, 2020",Everyone,https://yaanacreations.blogspot.com/p/privacy-policy-black-art-tech-solutions.html,True,False,False,2021-06-15 20:19:40
경조사 노트 - 치부책,hs.app.event,Finance,4.8,2663,"10,000+",10000,49190,True,0,USD,4.1M,7.0 and up,HS App,,devwlstn@gmail.com,"May 3, 2016","Apr 16, 2021",Everyone,http://blog.naver.com/ringoai0923/220777107423,True,False,False,2021-06-15 20:19:40
Scale Hero,com.games.scalehero,Arcade,3.3,7,"5,000+",5000,5554,True,0,USD,50M,5.1 and up,Sifo-Dyas,,info@sifodyasgames.com,"Mar 19, 2021","Mar 19, 2021",Everyone,https://sifodyasgames.com/policy,True,False,False,2021-06-15 20:19:40
Trevor Sorbie,com.thegroomingcompany.tsorbie,Beauty,0.0,0,50+,50,95,True,0,USD,5.5M,5.0 and up,The Grooming Company LLC,https://trevorsorbie.com/,hello@trevorsorbie.com,"Dec 13, 2020","Apr 15, 2021",Everyone,http://www.tgcapps.com/trevorsorbie/docs/privacy.php,False,False,False,2021-06-15 20:19:40
Köln Zeitungen,com.koeln.zeitungen,News & Magazines,0.0,0,10+,10,32,True,0,USD,15M,4.2 and up,Alles Web.eu,https://www.allesweb.eu/,info@allesweb.eu,"Jun 1, 2018","Oct 09, 2018",Everyone,https://www.allesweb.eu/erklaerung-zum-datenschutz.html,True,False,False,2021-06-15 20:19:40
San Vito Lo Capo,svitolocapo.it,Travel & Local,4.9,7,"1,000+",1000,1391,True,0,USD,127k,,wwwinternet.it,http://wwwinternet.it,wapumts@gmail.com,"Apr 30, 2014","Mar 12, 2019",Everyone,,False,False,False,2021-06-15 20:19:40
عون | Awon,com.excprotection.ircmobile,House & Home,2.7,205,"50,000+",50000,53898,True,0,USD,8.4M,4.4 and up,Excellent Protection,https://own.irc.sa/,awon.crm@irc.sa,"Jan 7, 2019","Jun 15, 2021",Everyone,http://www.mediafire.com/file/gwwzoywys6b0tqz/IRC_privacy_policy.html/file,False,False,False,2021-06-15 20:19:40
